RM_ID,Date,Supplier,Material Name,Material Code,Material Category,Material State,Container Type,Quantity,Unit,Lot / Batch,PO / BOL #,Inspection Status,Received By,Notes
RM-00001,12-15-2025,MEG 2,Raw Ethylene Glycol,EG-RAW,Raw Material,Bulk,Tank,9000,Gal,,ORD00002005,Accepted,ASIM,
RM-00002,12-18-2025,Viking,Methanol,BULK-MET,Raw Material,Bulk,Tank,4425,Gal,,360138,Accepted,Asim,
RM-00019,01-14-2026,Safety Kleen,Base Oil,BASE-150,Raw Material,Bulk,Tank,10257.62,Gal,,2600220128,Accepted,ASIM,
RM-00020,01-10-2026,Ergon Fuels,Ethanol,ETHANOL-BULK,Raw Material,Bulk,Tank,5981,Gal,,1351004,Accepted,ASIM,
RM-00024,01-23-2026,Filron Solutions,Chlorine (Sodium Hypochlorite),CHLR-BULK-GAL,Raw Material,Full,Tote,4400,Gal,,3712-3,Accepted,ASIM,16 totes Received. Logged in Gallons. 16 Totes * 275 Gal per Tote
RM-00025,01-30-2026,Par Services,Propylene Glycol,PG-BULK,Raw Material,Bulk,Tank,7699,Gal,,962108,Accepted,ASIM,
RM-00038,02-12-2026,Chromatech,Liquitint Brilliant Orange Dye,L82000-TOTE2200,Consumable,Full,Tote,40,Pail,,020226ORDYE,Accepted,asim,
RM-00039,04-23-2026,Filron,DEF Bulk,GEF030,Raw Material,Full,Tank,5000,Gal,,,Accepted,,
RM-00040,04-30-2026,Radchem,Charcoal Lighter Fluid,CHAR-GAL,Raw Material,Full,Tank,6804,Gal,,,Accepted,,
RM-00042,05-04-2026,,Raw Ethylene Glycol,EG-RAW,Raw Material,Full,Tank,4554.3,Gal,,,Accepted,,Manual Adjustment
RM-00043,05-04-2026,,DEF Bulk,GEF030,Raw Material,Full,Tank,1023.22,Gal,,,Accepted,,Adjustment
RM-00044,05-04-2026,,Base Oil,BASE-150,Raw Material,Full,Tank,1996.139999999,Gal,,,Accepted,,Adjustment
RM-00045,05-04-2026,,Methanol,BULK-MET,Raw Material,Full,Tank,3107.33,Gal,,,Accepted,,
RM-00046,05-04-2026,,Ethanol,ETHANOL-BULK,Raw Material,Full,Tank,3269,Gal,,,Accepted,,
RM-00047,5-6-2026,,Chlorine (Sodium Hypochlorite),CHLR-BULK-GAL,Raw Material,Full,Tote,4400,Gal,,,Accepted,,
RM-00048,5-8-2026,,Chlorine (Sodium Hypochlorite),CHLR-BULK-GAL,Raw Material,Full,Tote,4400,Gal,,,Accepted,,
RM-00049,5-12-2026,,Methanol,BULK-MET,Raw Material,Full,Tank,6739,Gal,,,Accepted,,
RM-00050,05-18-2026,,Methanol,BULK-MET,Raw Material,Full,Tank,6742,Gal,,,Accepted,,
RM-00051,5-20-2026,,Raw Ethylene Glycol,EG-RAW,Raw Material,Full,Tank,4100,Gal,,,Accepted,,
RM-00052,5-21-2026,,Charcoal Lighter Fluid,CHAR-GAL,Raw Material,Full,Tank,7000,Gal,,,Accepted,,
RM-00053,05-28-2026,,Charcoal Lighter Fluid,CHAR-GAL,Raw Material,Full,Tank,6480,Gal,,,Accepted,,
RM-00054,05-29-2026,,Base Oil,BASE-150,Raw Material,Full,Tote,6073,Gal,,,Accepted,,
RM-00055,06-05-2026,,Base Oil,BASE-150,Raw Material,Full,Tank,6452,Gal,,,Accepted,,
RM-00056,06-05-2026,,Methanol,BULK-MET,Raw Material,Full,Tank,6965,Gal,,,Accepted,,0
RM-00057,06-08-2026,,Methanol,BULK-MET,Raw Material,Full,Tank,6990,Gal,,,Accepted,,0
RM-00058,06-12-2026,,Methanol,BULK-MET,Raw Material,Full,Tank,6986,Gal,,,Accepted,,0
RM-00059,06-05-2026,,Charcoal Lighter Fluid,CHAR-GAL,Raw Material,Full,Tank,6700,Gal,,,Accepted,,

RM-00060,07-14-2026,Blue Sky,DEF Bulk,GEF030,Raw Material,Full,Tank,5329.67,Gal,,,Accepted,,
RM-00061,07-15-2026,Musket,Ethanol,ETHANOL-BULK,Raw Material,Full,Tank,7332,Gal,,,Accepted,,
